"naic","company_name","ratio","upheld_complaints","question_of_fact_complaints","not_upheld_complaints","total_complaints","premiums_written_in_millions","rank","filing_year"
"19070","Standard Fire Insurance Company","0","0","2","4","6","98.2496865","1","2023"
"11105","A. Central Insurance Company","0","0","6","9","15","68.746801","2","2023"
"26093","Nationwide Affinity Insurance Company of America","0","0","1","9","10","58.881184","3","2023"
"23787","Nationwide Mutual Insurance Company","0","0","0","3","3","39.67091","4","2023"
"10677","Cincinnati Insurance Company","0","0","0","1","1","36.8835065","5","2023"
"29424","Hartford Casualty Insurance Company","0","0","0","5","5","34.428543","6","2023"
"11908","Mercury Casualty Company","0","0","2","4","6","25.423316","7","2023"
"23728","National General Insurance Company","0","0","1","6","7","23.679921","8","2023"
"19402","AIG Property Casualty Company","0","0","0","0","0","23.67853","9","2023"
"10791","Palisades Insurance Company","0","0","1","6","7","22.0856715","10","2023"
"11252","Encompass Home and Auto Insurance Company","0","0","1","5","6","21.629251","11","2023"
"38288","Hartford Insurance Company of Illinois","0","0","0","1","1","18.0256255","12","2023"
"37770","CSAA General Insurance Company","0","0","0","7","7","16.1064125","13","2023"
"18279","Bankers Standard Insurance Company","0","0","0","2","2","12.3956395","14","2023"
"23450","American Family Home Insurance Company","0","0","0","3","3","12.105008","15","2023"
"12831","State National Insurance Company, Inc.","0","0","1","2","3","11.465156","16","2023"
"20303","Great Northern Insurance Company","0","0","0","0","0","11.1285165","17","2023"
"33600","LM Insurance Corporation","0","0","0","5","5","10.2547215","18","2023"
"10022","Countryway Insurance Company","0","0","0","2","2","9.8580165","19","2023"
"11044","National General Insurance Online, Inc.","0","0","1","2","3","9.625366","20","2023"
"25976","Utica Mutual Insurance Company","0","0","2","3","5","9.5138615","21","2023"
"21261","RiverStone International Insurance, Inc.","0","0","0","0","0","8.106304","22","2023"
"36137","Travelers Commercial Insurance Company","0","0","1","1","2","7.85717","23","2023"
"29963","United Farm Family Insurance Company","0","0","0","2","2","7.7942675","24","2023"
