License Number,NPN,Business Name,Entity Type,License Type,Line of Authority,Status,Issue Date,Expiration Date,City,County,State,Zip
NC100001,50000001,CHARLOTTE RESEARCH AGENCY LLC,Business Entity,Agency,Life,Active,2016-03-01,2028-03-01,CHARLOTTE,MECKLENBURG,NC,28202
NC100001,50000001,CHARLOTTE RESEARCH AGENCY LLC,Business Entity,Agency,Health,Active,2016-03-01,2028-03-01,CHARLOTTE,MECKLENBURG,NC,28202
NC100002,50000002,RALEIGH FAMILY INSURANCE INC,Business,Agency,Property and Casualty,Active,2015-06-15,2027-06-15,RALEIGH,WAKE,NC,27601
NC100003,50000003,DURHAM AGENCY GROUP LLC,Organization,Agency,Personal Lines,Active,2018-01-10,2028-01-10,DURHAM,DURHAM,NC,27701
NC100004,50000004,CHAPEL HILL HEALTH BENEFITS CORP,Business Entity,Agency,Health,Active,2019-09-09,2028-09-09,CHAPEL HILL,ORANGE,NC,27514
NC100005,50000005,GREENSBORO TITLE AND AGENCY INC,Business,Title,Title,Active,2014-02-02,2028-02-02,GREENSBORO,GUILFORD,NC,27401
NC100006,50000006,WILMINGTON INDEPENDENT AGENCY LLC,Business Entity,Agency,Life,Active,2017-11-11,2027-11-11,WILMINGTON,NEW HANOVER,NC,28401
NC100007,50000007,ASHEVILLE OUT OF MARKET INC,Business,Agency,Life,Active,2012-01-01,2028-01-01,ASHEVILLE,BUNCOMBE,NC,28801
NC199999,59999999,INDIVIDUAL PRODUCER SKIP,Individual,Agency,Life,Active,2010-01-01,2028-01-01,CHARLOTTE,MECKLENBURG,NC,28202
NC188888,58888888,OUT OF STATE AGENCY INC,Business Entity,Agency,Health,Active,2011-01-01,2028-01-01,GREENVILLE,GREENVILLE,SC,29601
