License Number,NPN,Business Name,Entity Type,License Type,Line of Authority,Status,Issue Date,Expiration Date,City,County,State,Zip
OH100001,40000001,COLUMBUS RESEARCH AGENCY LLC,Business Entity,Major Lines,Life,Active,2016-03-01,2028-03-01,COLUMBUS,FRANKLIN,OH,43215
OH100001,40000001,COLUMBUS RESEARCH AGENCY LLC,Business Entity,Major Lines,Health,Active,2016-03-01,2028-03-01,COLUMBUS,FRANKLIN,OH,43215
OH100002,40000002,CLEVELAND FAMILY INSURANCE INC,Business,Major Lines,Property and Casualty,Active,2015-06-15,2027-06-15,CLEVELAND,CUYAHOGA,OH,44114
OH100003,40000003,CINCINNATI AGENCY GROUP LLC,Organization,Major Lines,Personal Lines,Active,2018-01-10,2028-01-10,CINCINNATI,HAMILTON,OH,45202
OH100004,40000004,TOLEDO HEALTH BENEFITS CORP,Business Entity,Major Lines,Health,Active,2019-09-09,2028-09-09,TOLEDO,LUCAS,OH,43604
OH100005,40000005,AKRON TITLE AND AGENCY INC,Business,Title,Title,Active,2014-02-02,2028-02-02,AKRON,SUMMIT,OH,44308
OH100006,40000006,DAYTON INDEPENDENT AGENCY LLC,Business Entity,Major Lines,Life,Active,2017-11-11,2027-11-11,DAYTON,MONTGOMERY,OH,45402
OH100007,40000007,YOUNGSTOWN OUT OF MARKET INC,Business,Major Lines,Life,Active,2012-01-01,2028-01-01,YOUNGSTOWN,MAHONING,OH,44503
OH199999,49999999,INDIVIDUAL PRODUCER SKIP,Individual,Major Lines,Life,Active,2010-01-01,2028-01-01,COLUMBUS,FRANKLIN,OH,43215
OH188888,48888888,OUT OF STATE AGENCY INC,Business Entity,Major Lines,Health,Active,2011-01-01,2028-01-01,PITTSBURGH,ALLEGHENY,PA,15222
